중산도면,단가,수량,영업납기,선급
50060,6498,1,2021-03-18,1
50060,6498,1,2021-01-23,0
50060,6498,2,2021-01-31,0
50093,15483,4,2021-09-23,0
50093,15483,30,2021-03-15,1
50093,15483,60,2021-12-16,0
50095,6498,3,2021-04-17,0
50095,6498,5,2021-06-13,0
50095,6498,10,2021-08-20,0
50105,6498,1,2021-12-08,0
50105,6498,2,2021-11-02,0
50105,6498,4,2021-05-15,1
50110,27256,1,2021-05-31,0
50110,27256,5,2021-06-27,0
50110,27256,10,2021-09-12,0
50153,11541,3,2021-02-17,0
50153,11541,45,2021-01-03,0
50153,11541,90,2021-04-28,0
50173,103554,9,2021-03-28,1
50173,103554,19,2021-03-27,0
50173,103554,38,2021-09-20,0
50178,6516,3,2021-08-30,1
50178,6516,18,2021-07-22,0
50178,6516,36,2021-01-05,0
50181,104092,10,2021-10-25,1
50181,104092,62,2021-03-12,0
50181,104092,124,2021-12-21,0
50193,179208,17,2021-08-12,0
50193,179208,52,2021-09-18,0
50193,179208,104,2021-02-14,1
50194,106952,23,2021-12-14,0
50194,106952,94,2021-04-23,0
50194,106952,188,2021-06-29,0
50202,106952,10,2021-12-10,1
50202,106952,40,2021-06-04,0
50202,106952,80,2021-03-03,0
50205,77242,7,2021-08-10,0
50205,77242,14,2021-10-25,0
50205,77242,28,2021-03-30,0
50208,45856,8,2021-03-28,0
50208,45856,70,2021-01-31,0
50208,45856,140,2021-08-28,0
50209,15015,6,2021-02-23,0
50209,15015,23,2021-06-27,0
50209,15015,46,2021-03-12,0
50223,6498,1,2021-03-26,0
50223,6498,2,2021-08-24,0
50223,6498,4,2021-11-01,1
50226,6498,1,2021-01-10,0
50226,6498,2,2021-03-17,0
50226,6498,5,2021-01-03,0
50227,18691,2,2021-09-17,0
50227,18691,5,2021-01-03,0
50227,18691,10,2021-04-30,0
50228,86821,3,2021-10-24,0
50228,86821,7,2021-06-30,0
50228,86821,15,2021-04-06,0
50230,6332,2,2021-03-02,0
50230,6332,6,2021-02-16,0
50230,6332,12,2021-09-25,0
50233,6516,2,2021-07-11,0
50233,6516,11,2021-05-12,0
50233,6516,22,2021-09-17,1
50239,179208,31,2021-12-24,1
50239,179208,92,2021-04-02,1
50239,179208,184,2021-02-05,0
50250,34772,5,2021-11-10,0
50250,34772,14,2021-10-04,0
50250,34772,28,2021-01-12,0
50258,6498,1,2021-10-07,1
50258,6498,2,2021-08-10,0
50258,6498,4,2021-10-09,0
50263,32141,9,2021-05-06,1
50263,32141,155,2021-02-10,0
50263,32141,310,2021-08-02,1
50266,179208,16,2021-05-22,0
50266,179208,32,2021-05-21,0
50266,179208,65,2021-05-25,0
50272,86821,3,2021-05-07,1
50272,86821,7,2021-12-15,1
50272,86821,15,2021-06-24,0
50281,104092,96,2021-10-21,0
50281,104092,577,2021-09-21,0
50281,104092,1154,2021-11-27,0
50288,6498,1,2021-01-26,0
50288,6498,1,2021-07-27,0
50288,6498,2,2021-07-19,0
50289,77242,7,2021-02-04,0
50289,77242,15,2021-06-14,0
50289,77242,30,2021-11-07,1
50299,179208,21,2021-01-16,0
50299,179208,42,2021-04-17,0
50299,179208,85,2021-04-26,1
50302,12592,3,2021-05-08,0
50302,12592,44,2021-02-17,0
50302,12592,88,2021-06-23,0
50316,6498,1,2021-10-09,0
50316,6498,2,2021-12-05,0
50316,6498,4,2021-10-19,0
50317,179208,16,2021-09-14,0
50317,179208,33,2021-10-10,0
50317,179208,66,2021-01-16,1
50323,179208,6,2021-10-15,0
50323,179208,12,2021-04-22,1
50323,179208,25,2021-06-27,0
50325,6557,3,2021-07-23,0
50325,6557,32,2021-12-25,0
50325,6557,64,2021-03-12,0
50354,103554,9,2021-02-12,1
50354,103554,19,2021-09-20,0
50354,103554,38,2021-06-06,1
50415,179208,11,2021-01-21,1
50415,179208,34,2021-08-24,0
50415,179208,68,2021-03-27,0
50429,179208,17,2021-05-07,0
50429,179208,34,2021-09-19,0
50429,179208,68,2021-04-04,0
50442,8416,4,2021-10-08,1
50442,8416,14,2021-02-22,1
50442,8416,28,2021-01-22,0
50454,6498,1,2021-12-24,0
50454,6498,2,2021-08-26,1
50454,6498,4,2021-07-09,0
50468,6516,1,2021-04-14,0
50468,6516,8,2021-08-23,0
50468,6516,16,2021-07-26,0
50469,12881,2,2021-08-31,0
50469,12881,4,2021-01-25,0
50469,12881,9,2021-03-25,0
50489,6498,1,2021-11-17,0
50489,6498,3,2021-11-02,0
50489,6498,6,2021-09-20,0
50497,102669,8,2021-01-10,1
50497,102669,26,2021-06-27,0
50497,102669,52,2021-06-19,0
50498,52115,6,2021-06-28,0
50498,52115,13,2021-05-07,0
50498,52115,26,2021-10-16,0
50501,6332,2,2021-04-17,0
50501,6332,7,2021-06-06,0
50501,6332,14,2021-08-12,0
50529,6498,1,2021-01-31,0
50529,6498,1,2021-08-15,1
50529,6498,2,2021-08-09,0
50534,6498,1,2021-11-28,0
50534,6498,2,2021-03-16,0
50534,6498,4,2021-04-18,0
50568,179208,7,2021-11-18,0
50568,179208,14,2021-02-15,1
50568,179208,29,2021-07-16,0
50571,39310,7,2021-01-15,0
50571,39310,35,2021-08-04,0
50571,39310,70,2021-08-29,1
50574,6516,3,2021-03-09,0
50574,6516,18,2021-08-18,0
50574,6516,36,2021-03-17,0
50576,8416,4,2021-09-06,0
50576,8416,15,2021-07-08,0
