order,machine,gt
• date001 item127 9195 0 4,"• machine24 5.0
• machine34 4.41
• machine04 4.25
• machine09 3.9
• machine31 4.5","• machine04 1
• machine31 1
• machine34 1"
• date001 item1289 33640 1 13,"• machine28 2.0
• machine10 6.17
• machine09 5.67","• machine09 4
• machine10 3
• machine28 6"
• date001 item1316 6498 0 1,"• machine28 2.0
• machine29 1.15",• machine28 1
• date001 item1508 179208 0 16,• machine05 33.07,• machine05 1
• date001 item1830 52115 0 22,"• machine28 5.0
• machine23 6.0","• machine23 1
• machine28 1"
• date001 item1976 104092 0 42,"• machine06 52.0
• machine20 38.05
• machine05 37.0
• machine03 44.5
• machine19 41.5","• machine03 2
• machine05 2
• machine06 1
• machine19 2
• machine20 1"
• date001 item2179 6498 0 1,• machine28 1.88,• machine28 1
• date001 item2245 179208 0 48,"• machine03 11.5
• machine06 37.5","• machine03 14
• machine06 5"
• date001 item2308 6498 0 6,• machine08 3.17,• machine08 6
• date001 item2321 104092 0 102,"• machine23 40.0
• machine28 7.67
• machine20 12.0
• machine33 35.0
• machine21 6.17
• machine32 2.0","• machine20 5
• machine21 9
• machine23 16
• machine28 9
• machine32 22
• machine33 5"
• date001 item2512 86821 0 4,• machine08 8.0,• machine08 2
• date001 item2681 20470 0 50,"• machine21 2.3
• machine33 3.94
• machine10 3.57
• machine09 4.38
• machine23 3.42
• machine32 4.16
• machine28 3.32
• machine08 3.93","• machine08 6
• machine09 7
• machine10 10
• machine21 4
• machine23 5
• machine28 5
• machine32 8
• machine33 6"
• date001 item2699 106952 1 12,"• machine01 10.0
• machine04 12.0
• machine05 14.5
• machine20 12.0","• machine01 3
• machine04 5
• machine05 4
• machine20 1"
• date001 item2844 15218 1 5,"• machine32 6.0
• machine33 5.17
• machine21 6.0
• machine08 6.38
• machine09 6.23
• machine28 6.0","• machine08 1
• machine09 1
• machine21 1
• machine33 2"
• date001 item2934 8065 1 2,• machine21 4.0,• machine21 2
• date001 item3205 77242 1 13,"• machine28 8.5
• machine21 5.82","• machine21 4
• machine28 9"
• date001 item3238 81204 0 16,• machine19 8.38,• machine19 16
• date001 item330 6332 0 2,"• machine26 1.82
• machine31 2.82
• machine30 1.99
• machine34 1.67","• machine26 1
• machine30 1
• machine31 1"
• date001 item3370 44803 0 42,"• machine14 13.0
• machine10 9.92
• machine21 10.0
• machine04 10.25","• machine04 1
• machine10 2
• machine14 2
• machine21 2"
• date001 item3542 101291 0 4,• machine34 9.83,• machine34 4
• date001 item365 8416 0 13,"• machine09 2.64
• machine22 2.29
• machine34 2.45
• machine31 2.63
• machine35 1.9
• machine08 2.07
• machine30 2.2","• machine08 2
• machine09 2
• machine22 3
• machine30 1
• machine31 2
• machine34 1
• machine35 2"
• date001 item3768 99504 0 7,"• machine04 8.06
• machine28 7.4
• machine10 6.71","• machine04 3
• machine10 1
• machine28 4"
• date001 item392 39325 0 78,"• machine08 14.67
• machine34 5.32
• machine05 11.02
• machine20 9.49
• machine32 10.5
• machine04 9.9
• machine21 8.0
• machine35 8.47
• machine29 4.17","• machine04 8
• machine05 2
• machine08 7
• machine20 7
• machine21 8
• machine29 11
• machine32 5
• machine34 10
• machine35 12"
• date001 item3954 179208 0 22,• machine29 11.22,• machine29 22
• date001 item4038 104092 0 75,"• machine19 20.0
• machine05 17.24
• machine33 21.0
• machine06 4.0
• machine20 3.5
• machine32 10.88","• machine05 3
• machine06 2
• machine19 3
• machine20 3
• machine32 1
• machine33 3"
• date001 item4076 6498 0 1,• machine23 3.0,• machine23 1
• date001 item4116 14698 0 21,"• machine30 4.59
• machine28 6.17
• machine10 5.17
• machine22 6.17","• machine10 8
• machine22 1
• machine28 4
• machine30 8"
• date001 item4187 6498 0 1,• machine22 0.67,
• date001 item4403 52115 0 2,• machine22 5.98,• machine22 2
• date001 item4609 6498 0 4,• machine10 2.0,• machine10 4
• date001 item4642 86821 0 3,• machine14 7.92,• machine14 3
• date001 item4828 109083 0 46,"• machine28 8.0
• machine34 7.85
• machine22 8.0","• machine22 23
• machine28 6
• machine34 18"
• date001 item4842 27256 0 14,"• machine10 2.5
• machine09 4.0
• machine23 1.0","• machine09 6
• machine10 5
• machine23 3"
• date001 item4852 35875 0 94,"• machine29 6.3
• machine08 7.71
• machine21 4.83
• machine30 7.9
• machine28 5.5
• machine14 6.29
• machine10 6.34
• machine09 6.6","• machine08 12
• machine09 1
• machine10 21
• machine14 5
• machine21 19
• machine28 27
• machine29 1
• machine30 8"
• date001 item509 6498 1 2,"• machine30 0.77
• machine09 2.32","• machine09 1
• machine30 1"
• date001 item5235 8416 0 3,"• machine08 1.38
• machine14 4.89
• machine09 4.7
• machine21 3.39
• machine10 3.56
• machine07 3.0
• machine23 0.92",
• date001 item5326 6516 0 3,"• machine22 2.55
• machine08 2.75
• machine14 3.0
• machine23 3.44
• machine10 6.2
• machine21 3.57",
• date001 item5399 104092 1 274,"• machine01 30.0
• machine06 36.14
• machine16 26.0
• machine17 24.0
• machine19 21.03","• machine01 11
• machine06 8
• machine16 14
• machine17 13
• machine19 15"
• date001 item5401 6498 0 2,• machine28 2.17,
• date001 item546 11094 0 4,"• machine12 5.79
• machine09 5.98
• machine10 4.53
• machine28 3.75
• machine23 3.75
• machine21 2.93
• machine30 3.1","• machine09 1
• machine23 1
• machine30 1"
• date001 item5599 52115 0 20,"• machine23 5.85
• machine21 5.42","• machine21 5
• machine23 15"
• date001 item5618 6498 0 1,• machine22 2.62,• machine22 1
• date001 item5638 6498 1 1,• machine30 2.43,• machine30 1
• date001 item5694 179208 0 60,• machine03 120.0,• machine03 60
• date001 item570 7149 1 7,• machine28 3.83,• machine28 7
• date001 item5856 6516 0 22,"• machine09 2.31
• machine21 2.4
• machine23 1.87
• machine08 2.03
• machine30 2.57
• machine22 2.73","• machine08 2
• machine09 1
• machine21 1
• machine22 1
• machine23 1
• machine30 1"
• date001 item5913 179208 0 11,"• machine04 8.0
• machine20 15.0","• machine04 1
• machine20 1"
• date001 item5979 6498 0 1,• machine32 2.5,
• date001 item6320 106952 0 26,"• machine10 28.27
• machine23 29.6
• machine14 26.0
• machine09 23.0","• machine09 3
• machine10 7
• machine14 8
• machine23 8"
• date001 item6422 86821 0 7,"• machine04 10.07
• machine28 5.5","• machine04 4
• machine28 3"
• date001 item714 6498 0 3,• machine28 3.21,
• date001 item733 18303 0 118,"• machine31 1.72
• machine30 4.46
• machine14 7.22
• machine32 6.9
• machine23 5.55
• machine21 4.9
• machine34 1.82
• machine10 7.3
• machine28 6.0
• machine29 1.25
• machine09 3.97
• machine33 5.36
• machine35 5.5
• machine08 4.92","• machine08 2
• machine09 15
• machine10 8
• machine21 8
• machine23 11
• machine28 10
• machine29 4
• machine30 14
• machine31 7
• machine32 9
• machine33 11
• machine34 9
• machine35 9"
• date001 item769 6498 0 2,• machine21 1.0,• machine21 2
• date001 item829 179208 1 13,• machine21 13.5,• machine21 13
• date001 item954 179208 1 138,"• machine05 35.34
• machine01 34.33","• machine01 5
• machine05 9"
• date002 item1051 71585 0 138,"• machine07 4.32
• machine23 18.17
• machine10 10.22
• machine31 8.17
• machine14 9.64
• machine32 3.67
• machine21 12.75
• machine04 5.0","• machine04 9
• machine07 2
• machine10 6
• machine14 4
• machine21 2
• machine23 1
• machine31 1
• machine32 8"
• date002 item1509 179208 1 66,• machine05 66.25,
• date002 item1962 179208 0 27,• machine09 13.92,• machine09 1
• date002 item1985 52115 0 22,"• machine09 7.31
• machine08 4.5","• machine08 12
• machine09 10"
• date002 item2020 6498 1 7,• machine29 3.5,• machine29 7
• date002 item2149 52115 1 5,"• machine09 6.83
• machine23 4.5","• machine09 1
• machine23 4"
• date002 item2346 6498 0 4,• machine21 2.0,
• date002 item2394 40772 0 27,"• machine21 6.82
• machine09 7.43
• machine23 7.0
• machine14 7.17","• machine09 7
• machine14 8
• machine21 10
• machine23 3"
• date002 item2406 52115 0 2,• machine10 5.67,• machine10 2
• date002 item2408 6498 0 1,• machine10 1.0,• machine10 1
• date002 item2464 179208 0 70,• machine06 140.0,• machine06 4
• date002 item2656 6498 0 7,• machine21 3.5,
• date002 item2698 179208 0 7,• machine06 15.6,• machine06 7
• date002 item2796 52115 0 11,• machine23 5.75,• machine23 11
• date002 item2823 86821 0 15,• machine23 7.67,• machine23 15
• date002 item2856 7149 0 3,• machine10 3.83,• machine10 3
• date002 item2904 81204 0 16,"• machine28 8.89
• machine23 8.22","• machine23 1
• machine28 1"
• date002 item2931 179208 0 86,"• machine06 22.0
• machine01 21.6","• machine01 43
• machine06 43"
• date002 item3133 179208 0 112,• machine06 56.0,• machine06 3
• date002 item3147 6498 1 3,• machine21 1.78,• machine21 3
• date002 item3297 6498 0 12,"• machine21 3.25
• machine08 3.83","• machine08 11
• machine21 1"
• date002 item3424 103554 0 18,• machine34 9.0,• machine34 18
• date002 item3439 179208 0 106,"• machine05 19.0
• machine20 18.0
• machine19 16.5","• machine05 8
• machine19 6
• machine20 6"
• date002 item3444 34772 1 5,"• machine28 2.0
• machine09 8.33
• machine21 5.33","• machine09 2
• machine21 1
• machine28 2"
• date002 item3711 6332 0 2,"• machine31 3.67
• machine22 2.72
• machine10 2.77
• machine21 1.67",
• date002 item3790 6498 0 3,"• machine28 3.17
• machine08 0.83","• machine08 2
• machine28 1"
• date002 item3840 109083 0 44,"• machine08 7.67
• machine04 8.0
• machine14 7.81","• machine04 2
• machine08 1
• machine14 2"
• date002 item4093 40311 1 108,"• machine10 9.0
• machine30 10.38
• machine29 5.04
• machine21 6.0
• machine08 18.0
• machine22 6.85","• machine08 9
• machine10 10
• machine21 29
• machine22 34
• machine29 19
• machine30 7"
• date002 item4327 34772 0 5,"• machine22 5.97
• machine09 5.0
• machine08 5.0","• machine08 1
• machine09 1
• machine22 3"
• date002 item4328 33640 1 4,"• machine22 5.72
• machine08 4.33
• machine28 4.33","• machine22 1
• machine28 3"
• date002 item4388 104092 0 17,"• machine32 15.0
• machine33 14.83
• machine01 23.25
• machine19 15.0
• machine05 16.4
• machine20 18.58","• machine01 4
• machine05 2
• machine19 2
• machine20 3
• machine32 4
• machine33 2"
• date002 item4489 102669 0 8,"• machine23 6.99
• machine28 10.0
• machine21 9.67",
• date002 item4751 8065 0 7,"• machine31 7.5
• machine09 0.82","• machine09 2
• machine31 5"
• date002 item4789 6516 0 32,"• machine23 3.77
• machine08 2.63
• machine21 3.09
• machine09 3.36
• machine22 5.05","• machine08 1
• machine09 2
• machine21 2
• machine22 1
• machine23 2"
• date002 item4958 15218 0 6,"• machine21 7.75
• machine10 7.83
• machine09 6.07
• machine14 7.21
• machine08 5.55",
• date002 item5035 106952 0 118,"• machine33 11.88
• machine04 19.53
• machine05 13.5
• machine10 16.67","• machine04 5
• machine05 1
• machine10 6
• machine33 7"
• date002 item5089 95463 1 109,"• machine14 10.75
• machine04 11.88
• machine21 10.02
• machine08 8.6
• machine07 11.66
• machine35 10.62
• machine05 11.0
• machine28 11.59
• machine20 15.0
• machine10 12.33","• machine04 2
• machine05 3
• machine07 22
• machine08 14
• machine10 3
• machine14 13
• machine20 22
• machine21 9
• machine28 18
• machine35 2"
• date002 item5103 40772 0 27,"• machine21 6.3
• machine04 7.67
• machine09 6.92
• machine14 8.07","• machine04 2
• machine09 1
• machine14 1
• machine21 2"
• date002 item5184 12881 1 2,• machine09 4.63,• machine09 2
• date002 item5317 8065 0 3,• machine23 3.95,• machine23 3
• date002 item5483 15015 0 6,"• machine08 7.25
• machine28 5.83
• machine22 6.53
• machine21 7.03",
