order,gt
date149 item5984 179208 0 116,machine05 116
date094 item3447 179208 0 98,machine05 98
date326 item4904 15218 0 31,machine08 4 • machine09 10 • machine21 12 • machine32 1 • machine33 4
date068 item3731 86821 1 30,machine14 21 • machine33 9
date228 item6471 6498 0 1,machine28 1
date189 item3338 6498 0 7,machine30 7
date206 item620 27256 0 3,machine10 1 • machine23 1 • machine28 1
date255 item236 6498 0 3,machine34 3
date349 item214 179208 0 40,machine21 40
date229 item664 11094 0 54,machine08 2 • machine10 12 • machine21 9 • machine22 8 • machine23 12 • machine28 1 • machine33 10
date154 item4569 179208 1 79,machine01 31 • machine05 24 • machine06 24
date130 item5356 104092 0 61,machine05 28 • machine18 1 • machine20 8 • machine32 1 • machine33 22
date130 item849 6498 0 6,machine35 6
date071 item4125 179208 1 26,machine09 21 • machine30 5
date208 item3734 104092 0 10,machine10 3 • machine21 3 • machine28 4
date244 item4533 113012 1 9,machine02 1 • machine32 1 • machine33 7
date033 item3453 12881 0 2,machine21 2
date075 item1590 6498 0 5,machine14 2 • machine28 3
date058 item6467 39310 1 33,machine04 8 • machine08 8 • machine09 7 • machine20 9
date067 item871 28168 0 116,machine09 28 • machine10 22 • machine20 16 • machine21 21 • machine23 2 • machine29 26
date118 item4340 8493 0 4,machine28 4
date245 item6294 109155 1 272,machine01 62 • machine05 31 • machine16 34 • machine17 34 • machine20 27 • machine32 64 • machine33 21
date190 item2657 52115 1 12,machine16 12
date155 item3696 28824 0 10,machine08 2 • machine30 5 • machine31 3
date342 item6275 12240 0 32,machine09 6 • machine12 3 • machine21 6 • machine22 1 • machine23 5 • machine28 1 • machine34 2 • machine35 7
date070 item5134 109155 0 125,machine05 39 • machine09 6 • machine10 5 • machine23 1 • machine28 32 • machine30 11 • machine34 32
date179 item1876 33640 0 13,machine08 4 • machine09 4 • machine23 5
date281 item1311 103554 0 4,machine31 4
date050 item3124 106952 0 344,machine01 126 • machine06 6 • machine16 95 • machine19 117
date171 item6481 6498 1 2,machine28 2
date343 item1878 179208 0 38,machine06 38
date291 item3903 179208 0 48,machine05 48
date261 item5219 6498 1 1,machine09 1
date017 item5651 52115 0 5,machine10 2 • machine28 3
date147 item118 7149 1 14,machine10 6 • machine28 8
date335 item4407 100388 0 160,machine01 3 • machine04 1 • machine05 2 • machine08 21 • machine09 26 • machine14 23 • machine20 4 • machine21 20 • machine28 10 • machine29 13 • machine32 25 • machine33 12
date331 item95 52115 1 3,machine23 3
date049 item4572 6498 1 10,machine07 7 • machine10 3
date122 item140 104092 1 104,machine04 9 • machine05 31 • machine13 7 • machine19 20 • machine20 37
date071 item4155 179208 0 14,machine05 14
date213 item5269 179208 0 34,machine03 2 • machine05 32
date142 item819 179208 1 20,machine23 20
date112 item1490 179208 0 30,machine14 30
date265 item1327 81204 0 32,machine04 12 • machine20 20
date168 item4526 6332 1 26,machine14 11 • machine21 6 • machine28 8 • machine35 1
date040 item4278 21121 0 54,machine08 3 • machine09 2 • machine10 1 • machine21 15 • machine22 7 • machine23 7 • machine28 8 • machine30 11
date230 item4592 104092 0 104,machine02 31 • machine06 18 • machine16 27 • machine19 17 • machine32 12
date161 item6273 6516 0 22,machine08 8 • machine21 3 • machine22 3 • machine30 2 • machine31 6
date197 item3086 179208 0 22,machine32 11 • machine33 11
date280 item3064 179208 0 15,machine32 15
date296 item1628 8493 0 2,machine08 2
date291 item2273 27256 0 10,machine08 4 • machine10 5 • machine28 1
date121 item655 103554 0 17,machine32 7 • machine33 10
date257 item2684 366680 0 11,machine04 2 • machine05 2 • machine09 2 • machine14 1 • machine20 1 • machine21 2 • machine23 1
date302 item2017 81204 0 8,machine08 8
date089 item2177 179208 0 11,machine06 11
date108 item3179 6498 0 1,machine08 1
date030 item2947 179208 0 6,machine20 6
date222 item1370 23977 1 5,machine08 1 • machine09 1 • machine14 1 • machine28 1
date165 item445 81204 1 8,machine14 8
date275 item3147 6498 0 1,machine21 1
date340 item1707 8065 0 4,machine29 4
date120 item5679 7168 0 3,machine08 1 • machine22 1 • machine23 1
date143 item6255 179208 0 46,machine05 20 • machine32 26
date361 item5614 52115 0 12,machine22 12
date115 item1739 7149 1 3,machine08 3
date038 item673 9518 0 24,machine08 3 • machine09 2 • machine14 2 • machine21 1 • machine22 2 • machine28 2 • machine29 4 • machine30 4 • machine31 1 • machine34 2 • machine35 2
date276 item199 6498 0 2,machine23 2
date312 item4545 100388 1 12,machine04 1 • machine05 1 • machine10 1 • machine14 1 • machine20 1 • machine21 1 • machine22 1 • machine23 1 • machine28 1 • machine29 1 • machine32 1 • machine33 1
date198 item6038 20470 0 38,machine09 5 • machine10 9 • machine14 1 • machine21 3 • machine22 7 • machine23 5 • machine28 9
date236 item2529 179208 1 72,machine05 72
date090 item4942 52115 0 6,machine23 6
date078 item5846 179208 0 84,machine03 77 • machine05 7
date339 item4536 145749 0 172,machine01 38 • machine05 37 • machine06 36 • machine19 6 • machine20 19 • machine21 4 • machine32 28 • machine33 3
date119 item5451 6498 0 1,machine23 1
date278 item2434 12881 0 9,machine31 9
date016 item5111 179208 0 50,machine21 39 • machine29 11
date160 item2554 179208 0 19,machine05 19
date059 item6332 106952 0 38,machine10 8 • machine12 8 • machine21 7 • machine23 16
date252 item6136 145749 1 12,machine01 1 • machine03 1 • machine05 1 • machine06 3 • machine19 1 • machine32 1 • machine33 3
date001 item2179 6498 0 1,machine28 1
date329 item2140 6498 0 5,machine08 5
date354 item4218 43177 1 88,machine04 16 • machine05 6 • machine08 4 • machine09 2 • machine10 7 • machine20 9 • machine23 12 • machine28 7 • machine30 5 • machine31 8 • machine35 13
date114 item2127 11500 0 3,machine14 1 • machine21 1 • machine33 1
date355 item161 52115 0 20,machine07 5 • machine09 15
date196 item2777 179208 0 24,machine04 24
date294 item3144 6498 0 1,machine10 1
date183 item5268 8065 0 8,machine21 8
date222 item479 179208 0 7,machine32 7
date310 item5419 6516 0 12,machine08 4 • machine21 2 • machine23 2 • machine28 4
date255 item4301 103554 0 19,machine10 19
date128 item2202 179208 0 71,machine04 36 • machine20 8 • machine32 27
date080 item5606 33640 0 26,machine23 19 • machine31 7 • machine35 1
date037 item2317 179208 1 32,machine20 32
date005 item3682 179208 0 89,machine06 89
date101 item3883 6498 0 2,machine22 2
date146 item1170 109155 1 21,machine01 1 • machine03 5 • machine06 5 • machine16 3 • machine17 1 • machine19 2 • machine32 4
date135 item543 104092 1 138,machine01 20 • machine03 19 • machine05 7 • machine19 17 • machine20 74
date248 item2262 179208 0 42,machine08 26 • machine09 16
date136 item2639 40772 0 54,machine10 9 • machine23 15 • machine28 21 • machine29 10
date350 item3603 43171 0 9,machine01 3 • machine32 4 • machine33 2
date108 item5639 179208 0 14,machine20 14
date261 item4697 14619 0 96,machine04 3 • machine08 2 • machine09 8 • machine10 1 • machine21 14 • machine30 9 • machine31 16 • machine32 11 • machine33 15 • machine34 7 • machine35 11
date085 item5850 47491 0 7,machine04 1 • machine05 2 • machine10 2 • machine21 2
