order,gt
• date149 item5984 179208 0 116,• item5984 machine05 date149 116
• date094 item3447 179208 0 98,• item3447 machine05 date094 98
"• date326 item4904 15218 0 31
• date326 item4904 15218 0 31
• date326 item4904 15218 0 31
• date326 item4904 15218 0 31
• date326 item4904 15218 0 31","• item4904 machine08 date326 4
• item4904 machine09 date326 10
• item4904 machine21 date326 12
• item4904 machine32 date326 1
• item4904 machine33 date326 4"
"• date068 item3731 86821 1 30
• date068 item3731 86821 1 30","• item3731 machine14 date068 21
• item3731 machine33 date068 9"
"• date228 item6471 6498 0 1
• date228 item6471 6498 0 1",• item6471 machine28 date228 1
• date189 item3338 6498 0 7,• item3338 machine30 date189 7
"• date206 item620 27256 0 3
• date206 item620 27256 0 3
• date206 item620 27256 0 3","• item620 machine10 date206 1
• item620 machine23 date206 1
• item620 machine28 date206 1"
"• date255 item236 6498 0 3
• date255 item236 6498 0 3",• item236 machine34 date255 3
• date349 item214 179208 0 40,• item214 machine21 date349 40
"• date229 item664 11094 0 54
• date229 item664 11094 0 54
• date229 item664 11094 0 54
• date229 item664 11094 0 54
• date229 item664 11094 0 54
• date229 item664 11094 0 54
• date229 item664 11094 0 54","• item664 machine08 date229 2
• item664 machine10 date229 12
• item664 machine21 date229 9
• item664 machine22 date229 8
• item664 machine23 date229 12
• item664 machine28 date229 1
• item664 machine33 date229 10"
"• date154 item4569 179208 1 79
• date154 item4569 179208 1 79
• date154 item4569 179208 1 79","• item4569 machine01 date154 31
• item4569 machine05 date154 24
• item4569 machine06 date154 24"
"• date130 item5356 104092 0 61
• date130 item5356 104092 0 61
• date130 item5356 104092 0 61
• date130 item5356 104092 0 61
• date130 item5356 104092 0 61","• item5356 machine05 date130 28
• item5356 machine18 date130 1
• item5356 machine20 date130 8
• item5356 machine32 date130 1
• item5356 machine33 date130 22"
"• date130 item849 6498 0 6
• date130 item849 6498 0 6",• item849 machine35 date130 6
"• date071 item4125 179208 1 26
• date071 item4125 179208 1 26","• item4125 machine09 date071 21
• item4125 machine30 date071 5"
"• date208 item3734 104092 0 10
• date208 item3734 104092 0 10
• date208 item3734 104092 0 10
• date208 item3734 104092 0 10
• date208 item3734 104092 0 10","• item3734 machine10 date208 3
• item3734 machine21 date208 3
• item3734 machine28 date208 4"
"• date244 item4533 113012 1 9
• date244 item4533 113012 1 9
• date244 item4533 113012 1 9","• item4533 machine02 date244 1
• item4533 machine32 date244 1
• item4533 machine33 date244 7"
• date033 item3453 12881 0 2,• item3453 machine21 date033 2
"• date075 item1590 6498 0 5
• date075 item1590 6498 0 5","• item1590 machine14 date075 2
• item1590 machine28 date075 3"
"• date058 item6467 39310 1 33
• date058 item6467 39310 1 33
• date058 item6467 39310 1 33
• date058 item6467 39310 1 33
• date058 item6467 39310 1 33","• item6467 machine04 date058 8
• item6467 machine08 date058 8
• item6467 machine09 date058 7
• item6467 machine20 date058 9"
"• date067 item871 28168 0 116
• date067 item871 28168 0 116
• date067 item871 28168 0 116
• date067 item871 28168 0 116
• date067 item871 28168 0 116
• date067 item871 28168 0 116","• item871 machine09 date067 28
• item871 machine10 date067 22
• item871 machine20 date067 16
• item871 machine21 date067 21
• item871 machine23 date067 2
• item871 machine29 date067 26"
• date118 item4340 8493 0 4,• item4340 machine28 date118 4
"• date245 item6294 109155 1 272
• date245 item6294 109155 1 272
• date245 item6294 109155 1 272
• date245 item6294 109155 1 272
• date245 item6294 109155 1 272
• date245 item6294 109155 1 272
• date245 item6294 109155 1 272","• item6294 machine01 date245 62
• item6294 machine05 date245 31
• item6294 machine16 date245 34
• item6294 machine17 date245 34
• item6294 machine20 date245 27
• item6294 machine32 date245 64
• item6294 machine33 date245 21"
• date190 item2657 52115 1 12,• item2657 machine16 date190 12
"• date155 item3696 28824 0 10
• date155 item3696 28824 0 10
• date155 item3696 28824 0 10","• item3696 machine08 date155 2
• item3696 machine30 date155 5
• item3696 machine31 date155 3"
"• date342 item6275 12240 0 32
• date342 item6275 12240 0 32
• date342 item6275 12240 0 32
• date342 item6275 12240 0 32
• date342 item6275 12240 0 32
• date342 item6275 12240 0 32
• date342 item6275 12240 0 32
• date342 item6275 12240 0 32
• date342 item6275 12240 0 32","• item6275 machine09 date342 6
• item6275 machine12 date342 3
• item6275 machine21 date342 6
• item6275 machine22 date342 1
• item6275 machine23 date342 5
• item6275 machine28 date342 1
• item6275 machine34 date342 2
• item6275 machine35 date342 7"
