sample_id,item_id,time_id,quantity
Sample_0,item3731,date068,30
Sample_0,item3447,date094,98
Sample_0,item5984,date149,116
Sample_0,item3338,date189,7
Sample_0,item620,date206,3
Sample_0,item6471,date228,1
Sample_0,item664,date229,54
Sample_0,item236,date255,3
Sample_0,item4904,date326,31
Sample_0,item214,date349,40
Sample_1,item3453,date033,2
Sample_1,item6467,date058,33
Sample_1,item871,date067,116
Sample_1,item4125,date071,26
Sample_1,item1590,date075,5
Sample_1,item5356,date130,61
Sample_1,item849,date130,6
Sample_1,item4569,date154,79
Sample_1,item3734,date208,10
Sample_1,item4533,date244,9
Sample_2,item3124,date050,344
Sample_2,item5134,date070,125
Sample_2,item4340,date118,4
Sample_2,item3696,date155,10
Sample_2,item6481,date171,2
Sample_2,item1876,date179,13
Sample_2,item2657,date190,12
Sample_2,item6294,date245,272
Sample_2,item1311,date281,4
Sample_2,item6275,date342,32
Sample_3,item5651,date017,5
Sample_3,item4572,date049,10
Sample_3,item4155,date071,14
Sample_3,item140,date122,104
Sample_3,item118,date147,14
Sample_3,item5219,date261,1
Sample_3,item3903,date291,48
Sample_3,item95,date331,3
Sample_3,item4407,date335,160
Sample_3,item1878,date343,38
Sample_4,item4278,date040,54
Sample_4,item1490,date112,30
Sample_4,item819,date142,20
Sample_4,item6273,date161,22
Sample_4,item4526,date168,26
Sample_4,item3086,date197,22
Sample_4,item5269,date213,34
Sample_4,item4592,date230,104
Sample_4,item1327,date265,32
Sample_4,item3064,date280,15
Sample_5,item2947,date030,6
Sample_5,item2177,date089,11
Sample_5,item3179,date108,1
Sample_5,item655,date121,17
Sample_5,item445,date165,8
Sample_5,item1370,date222,5
Sample_5,item2684,date257,11
Sample_5,item2273,date291,10
Sample_5,item1628,date296,2
Sample_5,item2017,date302,8
Sample_6,item673,date038,24
Sample_6,item1739,date115,3
Sample_6,item5679,date120,3
Sample_6,item6255,date143,46
Sample_6,item6038,date198,38
Sample_6,item3147,date275,1
Sample_6,item199,date276,2
Sample_6,item4545,date312,12
Sample_6,item1707,date340,4
Sample_6,item5614,date361,12
Sample_7,item5111,date016,50
Sample_7,item6332,date059,38
Sample_7,item5846,date078,84
Sample_7,item4942,date090,6
Sample_7,item5451,date119,1
Sample_7,item2554,date160,19
Sample_7,item2529,date236,72
Sample_7,item6136,date252,12
Sample_7,item2434,date278,9
Sample_7,item4536,date339,172
Sample_8,item2179,date001,1
Sample_8,item2127,date114,3
Sample_8,item5268,date183,8
Sample_8,item2777,date196,24
Sample_8,item479,date222,7
Sample_8,item3144,date294,1
Sample_8,item5419,date310,12
Sample_8,item2140,date329,5
Sample_8,item4218,date354,88
Sample_8,item161,date355,20
Sample_9,item3682,date005,89
Sample_9,item2317,date037,32
Sample_9,item5606,date080,26
Sample_9,item3883,date101,2
Sample_9,item2202,date128,71
Sample_9,item543,date135,138
Sample_9,item2639,date136,54
Sample_9,item1170,date146,21
Sample_9,item2262,date248,42
Sample_9,item4301,date255,19
Sample_10,item5873,date003,3
Sample_10,item447,date018,7
Sample_10,item475,date023,4
Sample_10,item3552,date070,5
Sample_10,item5850,date085,7
Sample_10,item5639,date108,14
Sample_10,item1875,date235,18
Sample_10,item4697,date261,96
Sample_10,item3143,date337,4
Sample_10,item3603,date350,9
Sample_11,item3182,date041,4
Sample_11,item569,date049,8
Sample_11,item4761,date079,2
Sample_11,item3984,date089,15
Sample_11,item5551,date143,40
Sample_11,item5835,date166,40
Sample_11,item6235,date238,10
