item_id,machine_id,capacity
item664,machine33,4.46
item6471,machine28,2.67
item3731,machine14,8.17
item664,machine21,4.11
item664,machine28,3.83
item4904,machine08,6.42
item6471,machine10,0.82
item620,machine23,1.32
item664,machine23,4.28
item620,machine28,4.92
item3731,machine33,7.5
item214,machine21,20.0
item664,machine10,4.17
item3447,machine05,49.0
item4904,machine32,6.87
item620,machine10,4.25
item5984,machine05,58.42
item236,machine10,2.67
item664,machine08,4.4
item664,machine22,4.7
item3338,machine30,3.5
item4904,machine09,6.53
item4904,machine21,6.64
item236,machine34,4.46
item4904,machine33,7.61
item6467,machine20,5.83
item6467,machine04,6.57
item4533,machine02,7.0
item871,machine20,13.0
item871,machine21,10.0
item4125,machine09,8.5
item5356,machine05,11.5
item871,machine23,8.25
item871,machine29,15.55
item3734,machine08,2.58
item5356,machine18,19.0
item5356,machine20,13.56
item3734,machine10,4.0
item4125,machine30,18.22
item6467,machine05,5.0
item5356,machine32,11.12
item1590,machine28,4.02
item4533,machine32,10.62
item4533,machine33,10.64
item849,machine35,3.7
item3734,machine21,2.33
item4569,machine06,25.0
item6467,machine08,10.8
item4569,machine01,30.0
item5356,machine33,7.17
item3734,machine28,40.0
item1590,machine14,1.37
item849,machine14,3.45
item871,machine09,9.33
item3734,machine23,3.0
item871,machine10,3.5
item6467,machine09,7.55
item3453,machine21,4.67
item4569,machine05,24.67
item6275,machine30,5.03
item4340,machine28,4.33
item5134,machine23,22.74
item6275,machine22,2.47
item1876,machine08,5.33
item6481,machine28,2.0
item2657,machine16,6.0
item5134,machine28,5.32
item6294,machine17,13.0
item3124,machine01,95.0
item5134,machine09,22.54
item1876,machine23,4.32
item6275,machine35,2.92
item5134,machine10,5.0
item6294,machine01,31.0
item5134,machine30,21.17
item1311,machine31,9.2
item3124,machine19,78.98
item1876,machine09,4.32
item3124,machine16,86.23
item6275,machine23,12.7
item3696,machine08,4.68
item3696,machine30,3.67
item5134,machine05,23.0
item3124,machine06,85.77
item6275,machine28,2.67
item6275,machine34,3.62
item6275,machine09,2.51
item6275,machine12,2.32
item6294,machine05,17.6
item6294,machine16,16.0
item3696,machine31,3.83
item6294,machine32,19.54
item6275,machine21,2.56
item5134,machine34,27.67
item6294,machine20,20.0
item6294,machine33,20.7
item3903,machine05,96.5
item5219,machine09,2.5
item140,machine04,14.51
item4407,machine14,13.73
