sample_id,item_id,machine_id,time_id,quantity
Sample_0,item3731,machine14,date068,16
Sample_0,item3731,machine33,date068,14
Sample_0,item3447,machine05,date094,5
Sample_0,item5984,machine05,date149,12
Sample_0,item3338,machine30,date189,1
Sample_0,item664,machine08,date229,6
Sample_0,item664,machine10,date229,4
Sample_0,item664,machine21,date229,5
Sample_0,item664,machine22,date229,2
Sample_0,item664,machine23,date229,7
Sample_0,item664,machine28,date229,3
Sample_0,item664,machine33,date229,2
Sample_0,item4904,machine08,date326,10
Sample_0,item4904,machine09,date326,7
Sample_0,item4904,machine21,date326,1
Sample_0,item4904,machine32,date326,8
Sample_0,item4904,machine33,date326,6
Sample_0,item214,machine21,date349,2
Sample_1,item3453,machine21,date033,2
Sample_1,item6467,machine04,date058,4
Sample_1,item6467,machine05,date058,5
Sample_1,item6467,machine08,date058,3
Sample_1,item6467,machine09,date058,12
Sample_1,item6467,machine20,date058,9
Sample_1,item871,machine09,date067,24
Sample_1,item871,machine10,date067,38
Sample_1,item871,machine20,date067,17
Sample_1,item871,machine21,date067,5
Sample_1,item871,machine23,date067,7
Sample_1,item871,machine29,date067,24
Sample_1,item4125,machine09,date071,16
Sample_1,item4125,machine30,date071,10
Sample_1,item1590,machine14,date075,5
Sample_1,item5356,machine05,date130,5
Sample_1,item5356,machine18,date130,10
Sample_1,item5356,machine20,date130,21
Sample_1,item5356,machine32,date130,22
Sample_1,item5356,machine33,date130,3
Sample_1,item849,machine14,date130,2
Sample_1,item849,machine35,date130,4
Sample_1,item4569,machine01,date154,13
Sample_1,item4569,machine05,date154,16
Sample_1,item4569,machine06,date154,21
Sample_1,item3734,machine08,date208,3
Sample_1,item3734,machine10,date208,2
Sample_1,item3734,machine21,date208,1
Sample_1,item3734,machine23,date208,1
Sample_1,item3734,machine28,date208,2
Sample_1,item4533,machine02,date244,3
Sample_1,item4533,machine32,date244,3
Sample_1,item4533,machine33,date244,3
Sample_2,item3124,machine01,date050,42
Sample_2,item3124,machine06,date050,115
Sample_2,item3124,machine16,date050,77
Sample_2,item3124,machine19,date050,110
Sample_2,item5134,machine05,date070,28
Sample_2,item5134,machine09,date070,3
Sample_2,item5134,machine10,date070,24
Sample_2,item5134,machine23,date070,40
Sample_2,item5134,machine28,date070,12
Sample_2,item5134,machine30,date070,13
Sample_2,item5134,machine34,date070,5
Sample_2,item4340,machine28,date118,4
Sample_2,item3696,machine08,date155,3
Sample_2,item3696,machine30,date155,5
Sample_2,item3696,machine31,date155,2
Sample_2,item6481,machine28,date171,2
Sample_2,item1876,machine08,date179,4
Sample_2,item1876,machine09,date179,7
Sample_2,item1876,machine23,date179,2
Sample_2,item2657,machine16,date190,12
Sample_2,item6294,machine01,date245,9
Sample_2,item6294,machine05,date245,10
Sample_2,item6294,machine16,date245,24
Sample_2,item6294,machine17,date245,26
Sample_2,item6294,machine20,date245,17
Sample_2,item6294,machine32,date245,27
Sample_2,item6294,machine33,date245,22
Sample_2,item1311,machine31,date281,4
Sample_2,item6275,machine09,date342,8
Sample_2,item6275,machine12,date342,6
Sample_2,item6275,machine21,date342,7
Sample_2,item6275,machine23,date342,1
Sample_2,item6275,machine28,date342,4
Sample_2,item6275,machine30,date342,2
Sample_2,item6275,machine34,date342,1
Sample_2,item6275,machine35,date342,3
Sample_3,item5651,machine10,date017,1
Sample_3,item5651,machine28,date017,4
Sample_3,item4572,machine07,date049,3
Sample_3,item4572,machine10,date049,7
Sample_3,item140,machine04,date122,21
Sample_3,item140,machine05,date122,20
Sample_3,item140,machine13,date122,59
Sample_3,item140,machine19,date122,3
Sample_3,item140,machine20,date122,1
Sample_3,item118,machine10,date147,11
Sample_3,item118,machine28,date147,3
Sample_3,item5219,machine09,date261,1
Sample_3,item3903,machine05,date291,48
Sample_3,item95,machine23,date331,3
Sample_3,item4407,machine01,date335,21
Sample_3,item4407,machine04,date335,16
Sample_3,item4407,machine05,date335,11
Sample_3,item4407,machine08,date335,28
Sample_3,item4407,machine09,date335,12
Sample_3,item4407,machine14,date335,20
Sample_3,item4407,machine20,date335,2
Sample_3,item4407,machine21,date335,26
Sample_3,item4407,machine28,date335,8
Sample_3,item4407,machine29,date335,3
Sample_3,item4407,machine32,date335,5
Sample_3,item4407,machine33,date335,8
Sample_3,item1878,machine06,date343,3
Sample_4,item4278,machine08,date040,1
