sample_id:ID(Sample),objective_score:double
Sample_0,0
Sample_1,5197032
Sample_2,14954235
Sample_3,0
Sample_4,3225744
Sample_5,0
Sample_6,0
Sample_7,10931688
Sample_8,0
Sample_9,7078256
Sample_10,0
Sample_11,0
Sample_12,15821984
Sample_13,0
Sample_14,0
Sample_15,0
Sample_16,0
Sample_17,0
Sample_18,0
Sample_19,0
Sample_20,3046536
Sample_21,3942576
Sample_22,0
Sample_23,0
Sample_24,0
Sample_25,28673280
Sample_26,0
Sample_27,5913864
Sample_28,8422776
Sample_29,0
Sample_30,0
Sample_31,0
Sample_32,19465204
Sample_33,0
Sample_34,0
Sample_35,0
Sample_36,0
Sample_37,0
Sample_38,0
Sample_39,0
Sample_40,0
Sample_41,0
Sample_42,0
Sample_43,0
Sample_44,0
Sample_45,0
Sample_46,0
Sample_47,0
Sample_48,10931688
Sample_49,0
Sample_50,0
Sample_51,0
Sample_52,0
Sample_53,0
Sample_54,0
Sample_55,0
Sample_56,32997164
Sample_57,10035648
Sample_58,0
Sample_59,0
Sample_60,0
Sample_61,4300992
Sample_62,0
Sample_63,0
Sample_64,0
Sample_65,6093072
Sample_66,0
Sample_67,0
Sample_68,4838616
Sample_69,9498024
Sample_70,0
Sample_71,0
Sample_72,0
Sample_73,1711232
Sample_74,0
Sample_75,37992096
Sample_76,0
Sample_77,0
Sample_78,6451488
Sample_79,0
Sample_80,31435784
Sample_81,0
Sample_82,0
Sample_83,0
Sample_84,8422776
Sample_85,0
Sample_86,0
Sample_87,0
Sample_88,0
Sample_89,10214856
Sample_90,0
Sample_91,0
Sample_92,0
Sample_93,0
Sample_94,14515848
Sample_95,8064360
Sample_96,50993208
Sample_97,0
Sample_98,0
Sample_99,0
Sample_100,0
Sample_101,0
Sample_102,0
Sample_103,0
Sample_104,91253580
Sample_105,0
Sample_106,34587144
Sample_107,0
Sample_108,0
Sample_109,0
Sample_110,0
Sample_111,0
Sample_112,0
Sample_113,0
Sample_114,0
Sample_115,0
Sample_116,0
Sample_117,0
Sample_118,0
Sample_119,23430
Sample_120,0
Sample_121,0
Sample_122,6093072
Sample_123,0
Sample_124,0
Sample_125,0
Sample_126,8064360
Sample_127,0
Sample_128,0
Sample_129,0
Sample_130,0
Sample_131,3404952
Sample_132,92931996
Sample_133,13261392
Sample_134,0
Sample_135,0
Sample_136,0
Sample_137,0
Sample_138,0
Sample_139,87645464
Sample_140,0
Sample_141,0
Sample_142,0
Sample_143,0
Sample_144,5734656
Sample_145,0
Sample_146,0
Sample_147,0
Sample_148,0
Sample_149,0
Sample_150,0
Sample_151,0
Sample_152,0
Sample_153,0
Sample_154,0
Sample_155,0
Sample_156,0
Sample_157,0
Sample_158,0
Sample_159,0
Sample_160,0
Sample_161,0
Sample_162,0
Sample_163,0
Sample_164,0
Sample_165,0
Sample_166,0
Sample_167,0
Sample_168,0
Sample_169,0
Sample_170,24372288
Sample_171,21325752
Sample_172,0
Sample_173,0
Sample_174,0
Sample_175,0
Sample_176,0
Sample_177,39604968
Sample_178,0
Sample_179,0
Sample_180,0
Sample_181,0
Sample_182,0
Sample_183,0
Sample_184,0
Sample_185,4838616
Sample_186,0
