sample_id,item_id,machine_id,time_id,quantity,sample_objective
Sample_0,item15,machine04,date133,19,1770326
Sample_0,item15,machine05,date133,65,1770326
Sample_0,item15,machine07,date133,201,1770326
Sample_0,item15,machine08,date133,223,1770326
Sample_0,item15,machine09,date133,199,1770326
Sample_0,item15,machine10,date133,147,1770326
Sample_0,item15,machine12,date133,200,1770326
Sample_0,item15,machine14,date133,221,1770326
Sample_0,item15,machine20,date133,115,1770326
Sample_0,item15,machine21,date133,3,1770326
Sample_0,item15,machine23,date133,28,1770326
Sample_0,item15,machine28,date133,92,1770326
Sample_0,item15,machine29,date133,250,1770326
Sample_0,item15,machine30,date133,149,1770326
Sample_0,item15,machine31,date133,185,1770326
Sample_0,item15,machine33,date133,128,1770326
Sample_0,item15,machine34,date133,61,1770326
Sample_0,item15,machine35,date133,266,1770326
Sample_0,item16,machine07,date144,245,1770326
Sample_0,item16,machine08,date144,163,1770326
Sample_0,item16,machine09,date144,65,1770326
Sample_0,item16,machine10,date144,92,1770326
Sample_0,item16,machine14,date144,280,1770326
Sample_0,item16,machine21,date144,166,1770326
Sample_0,item16,machine22,date144,312,1770326
Sample_0,item16,machine23,date144,319,1770326
Sample_0,item16,machine28,date144,65,1770326
Sample_0,item16,machine29,date144,117,1770326
Sample_0,item16,machine30,date144,382,1770326
Sample_0,item16,machine31,date144,140,1770326
Sample_0,item16,machine35,date144,317,1770326
Sample_0,item96,machine08,date150,10,1770326
Sample_0,item96,machine09,date150,3,1770326
Sample_0,item96,machine10,date150,1,1770326
Sample_0,item96,machine12,date150,5,1770326
Sample_0,item96,machine14,date150,19,1770326
Sample_0,item96,machine21,date150,1,1770326
Sample_0,item96,machine22,date150,3,1770326
Sample_0,item96,machine23,date150,14,1770326
Sample_0,item96,machine28,date150,7,1770326
Sample_0,item96,machine29,date150,9,1770326
Sample_0,item96,machine30,date150,6,1770326
Sample_0,item96,machine34,date150,8,1770326
Sample_0,item96,machine35,date150,2,1770326
Sample_0,item91,machine08,date154,1,1770326
Sample_0,item91,machine09,date154,3,1770326
Sample_0,item91,machine10,date154,2,1770326
Sample_0,item91,machine14,date154,2,1770326
Sample_0,item91,machine28,date154,1,1770326
Sample_0,item91,machine34,date154,4,1770326
Sample_0,item91,machine35,date154,2,1770326
Sample_0,item87,machine01,date169,127,1770326
Sample_0,item87,machine03,date169,8,1770326
Sample_0,item87,machine05,date169,113,1770326
Sample_0,item87,machine17,date169,113,1770326
Sample_0,item87,machine18,date169,77,1770326
Sample_0,item87,machine19,date169,17,1770326
Sample_0,item87,machine20,date169,70,1770326
Sample_0,item87,machine21,date169,110,1770326
Sample_0,item87,machine32,date169,80,1770326
Sample_0,item87,machine33,date169,82,1770326
Sample_1,item16,machine07,date144,13,2373997
Sample_1,item16,machine08,date144,95,2373997
Sample_1,item16,machine09,date144,10,2373997
Sample_1,item16,machine10,date144,236,2373997
Sample_1,item16,machine14,date144,305,2373997
Sample_1,item16,machine21,date144,133,2373997
Sample_1,item16,machine22,date144,257,2373997
Sample_1,item16,machine23,date144,274,2373997
Sample_1,item16,machine28,date144,102,2373997
Sample_1,item16,machine29,date144,14,2373997
Sample_1,item16,machine30,date144,211,2373997
Sample_1,item16,machine31,date144,138,2373997
Sample_1,item16,machine35,date144,277,2373997
Sample_1,item96,machine08,date150,12,2373997
Sample_1,item96,machine09,date150,16,2373997
Sample_1,item96,machine10,date150,18,2373997
Sample_1,item96,machine12,date150,2,2373997
Sample_1,item96,machine14,date150,4,2373997
Sample_1,item96,machine21,date150,11,2373997
Sample_1,item96,machine22,date150,16,2373997
Sample_1,item96,machine23,date150,17,2373997
Sample_1,item96,machine28,date150,10,2373997
Sample_1,item96,machine29,date150,2,2373997
Sample_1,item96,machine30,date150,11,2373997
Sample_1,item96,machine34,date150,11,2373997
Sample_1,item96,machine35,date150,5,2373997
Sample_1,item91,machine08,date154,4,2373997
Sample_1,item91,machine09,date154,1,2373997
Sample_1,item91,machine10,date154,3,2373997
Sample_1,item91,machine14,date154,4,2373997
Sample_1,item91,machine21,date154,1,2373997
Sample_1,item91,machine28,date154,1,2373997
Sample_1,item91,machine29,date154,4,2373997
Sample_1,item91,machine34,date154,1,2373997
Sample_1,item91,machine35,date154,3,2373997
Sample_1,item20,machine01,date169,2,2373997
Sample_1,item20,machine02,date169,78,2373997
Sample_1,item20,machine03,date169,58,2373997
Sample_1,item20,machine05,date169,82,2373997
Sample_1,item20,machine06,date169,26,2373997
Sample_1,item20,machine14,date169,75,2373997
Sample_1,item20,machine16,date169,37,2373997
Sample_1,item20,machine17,date169,42,2373997
Sample_1,item20,machine18,date169,26,2373997
Sample_1,item20,machine19,date169,78,2373997
Sample_1,item20,machine20,date169,21,2373997
Sample_1,item20,machine32,date169,7,2373997
Sample_1,item20,machine33,date169,25,2373997
Sample_1,item87,machine01,date169,44,2373997
Sample_1,item87,machine03,date169,95,2373997
Sample_1,item87,machine05,date169,70,2373997
Sample_1,item87,machine17,date169,112,2373997
Sample_1,item87,machine18,date169,191,2373997
Sample_1,item87,machine19,date169,133,2373997
Sample_1,item87,machine20,date169,69,2373997
Sample_1,item87,machine21,date169,43,2373997
Sample_1,item87,machine32,date169,79,2373997
Sample_1,item87,machine33,date169,119,2373997
Sample_2,item05,machine10,date041,291,2047500
Sample_2,item96,machine08,date150,1,2047500
Sample_2,item96,machine09,date150,6,2047500
Sample_2,item96,machine10,date150,17,2047500
Sample_2,item96,machine12,date150,13,2047500
Sample_2,item96,machine14,date150,13,2047500
Sample_2,item96,machine21,date150,13,2047500
Sample_2,item96,machine22,date150,11,2047500
Sample_2,item96,machine23,date150,3,2047500
Sample_2,item96,machine28,date150,7,2047500
Sample_2,item96,machine30,date150,14,2047500
Sample_2,item96,machine34,date150,13,2047500
Sample_2,item96,machine35,date150,3,2047500
Sample_2,item91,machine08,date154,2,2047500
Sample_2,item91,machine09,date154,3,2047500
Sample_2,item91,machine10,date154,1,2047500
Sample_2,item91,machine14,date154,1,2047500
Sample_2,item91,machine21,date154,2,2047500
Sample_2,item91,machine29,date154,2,2047500
Sample_2,item91,machine34,date154,1,2047500
Sample_2,item91,machine35,date154,3,2047500
Sample_2,item20,machine01,date169,56,2047500
Sample_2,item20,machine02,date169,23,2047500
Sample_2,item20,machine03,date169,70,2047500
Sample_2,item20,machine05,date169,79,2047500
Sample_2,item20,machine06,date169,9,2047500
Sample_2,item20,machine14,date169,73,2047500
Sample_2,item20,machine16,date169,31,2047500
Sample_2,item20,machine17,date169,77,2047500
Sample_2,item20,machine18,date169,10,2047500
Sample_2,item20,machine19,date169,68,2047500
Sample_2,item20,machine20,date169,29,2047500
Sample_2,item20,machine32,date169,64,2047500
Sample_2,item20,machine33,date169,12,2047500
Sample_2,item87,machine01,date169,188,2047500
Sample_2,item87,machine03,date169,161,2047500
